"Поисковая система","Поисковая система (детально)","Поисковая фраза","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте","Достижения избранных целей","Доход по избранным целям, RUB","Конверсия посетителей по избранным целям"
"Яндекс","Яндекс, результаты поиска","ремонт айфонов дисплей цена","2","2","0.0","2.5","00:00:01","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","ремонт дисплея mac air","2","1","0.5","2.5","00:14:11","1","0.0","1.0"
"Яндекс","Яндекс, результаты поиска","ремонт дисплея macbook","2","1","0.5","1.0","00:00:08","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","ремонт телефонов айфон","2","2","0.0","2.0","00:00:00","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","ремонт телефонов айфон рядом","2","2","0.0","2.5","00:00:01","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","ремонт шлейфа macbook pro","2","1","0.0","5.5","00:06:02","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","реставрация айфона","2","2","0.0","1.0","00:00:17","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","реставрация корпуса iphone","2","1","0.5","2.0","00:00:12","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","русификация клавиатуры макбук","2","2","0.0","3.5","00:00:38","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","сколько стоит замена матрицы на макбуке","2","2","0.0","4.0","00:00:40","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","сколько стоит замена платы на айфон 14 про","2","2","0.5","2.0","00:00:57","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","сколько стоит заменить аккумулятор на айфон","2","2","0.5","1.5","00:00:19","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","сколько стоит заменить линзу на айфон","2","2","0.5","1.0","00:00:07","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","сколько стоит заменить экран на макбуке","2","2","0.0","5.0","00:12:06","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","сколько стоит поменять линзы на айфоне","2","2","0.5","1.0","00:01:10","0","0.0","0.0"
